Timestamp,M0_Thrust_N,M1_Thrust_N,M2_Thrust_N,M3_Thrust_N,Total_Thrust_N
2025/07/20 19:10:39.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:39.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:39.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:39.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:39.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:39.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:39.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:39.891,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:39.991,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.091,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.891,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:40.992,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.091,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.891,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:41.992,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.091,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.891,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:42.992,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.091,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.891,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:43.992,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.091,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.891,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:44.992,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.091,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.891,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:45.992,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.091,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.891,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:46.992,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.091,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.192,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.291,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.392,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.491,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.592,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.691,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.792,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:47.915,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.013,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.110,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.210,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.310,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.410,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.510,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.610,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.710,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.810,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:48.910,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.010,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.110,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.210,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.310,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.410,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.510,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.610,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.710,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.810,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:49.910,-0.258,-0.258,-0.258,-0.258,-1.032
2025/07/20 19:10:50.010,-0.252,-0.252,-0.252,-0.252,-1.008
2025/07/20 19:10:50.110,-0.246,-0.246,-0.246,-0.246,-0.984
2025/07/20 19:10:50.210,-0.239,-0.239,-0.239,-0.239,-0.956
2025/07/20 19:10:50.310,-0.233,-0.233,-0.233,-0.233,-0.932
2025/07/20 19:10:50.410,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:50.510,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:50.610,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:50.710,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:50.810,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:50.910,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:51.010,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:51.110,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:51.210,-0.227,-0.227,-0.227,-0.227,-0.908
2025/07/20 19:10:51.310,-0.195,-0.219,-0.227,-0.188,-0.829
2025/07/20 19:10:51.410,-0.193,-0.217,-0.227,-0.187,-0.8240000000000001
2025/07/20 19:10:51.510,-0.192,-0.217,-0.227,-0.185,-0.821
2025/07/20 19:10:51.610,-0.19,-0.217,-0.227,-0.184,-0.8180000000000001
2025/07/20 19:10:51.710,-0.192,-0.217,-0.227,-0.184,-0.8200000000000001
2025/07/20 19:10:51.810,-0.188,-0.217,-0.227,-0.182,-0.8140000000000001
2025/07/20 19:10:51.910,-0.19,-0.217,-0.227,-0.184,-0.8180000000000001
2025/07/20 19:10:52.010,-0.19,-0.217,-0.227,-0.182,-0.8160000000000001
2025/07/20 19:10:52.110,-0.192,-0.217,-0.227,-0.184,-0.8200000000000001
2025/07/20 19:10:52.210,-0.188,-0.217,-0.227,-0.182,-0.8140000000000001
2025/07/20 19:10:52.310,-0.19,-0.217,-0.227,-0.184,-0.8180000000000001
2025/07/20 19:10:52.410,-0.188,-0.217,-0.227,-0.182,-0.8140000000000001
2025/07/20 19:10:52.510,-0.19,-0.215,-0.227,-0.184,-0.8160000000000001
2025/07/20 19:10:52.610,-0.187,-0.217,-0.227,-0.18,-0.8109999999999999
2025/07/20 19:10:52.710,-0.19,-0.217,-0.227,-0.184,-0.8180000000000001
2025/07/20 19:10:52.810,-0.19,-0.217,-0.227,-0.182,-0.8160000000000001
2025/07/20 19:10:52.910,-0.192,-0.217,-0.227,-0.184,-0.8200000000000001
2025/07/20 19:10:53.010,-0.188,-0.217,-0.227,-0.18,-0.812
2025/07/20 19:10:53.110,-0.192,-0.217,-0.227,-0.184,-0.8200000000000001
2025/07/20 19:10:53.210,-0.188,-0.217,-0.227,-0.182,-0.8140000000000001
2025/07/20 19:10:53.310,-0.19,-0.217,-0.227,-0.184,-0.8180000000000001
2025/07/20 19:10:53.410,-0.188,-0.217,-0.227,-0.18,-0.812
2025/07/20 19:10:53.510,-0.192,-0.217,-0.227,-0.185,-0.821
2025/07/20 19:10:53.610,-0.188,-0.217,-0.227,-0.182,-0.8140000000000001
2025/07/20 19:10:53.710,-0.168,-0.199,-0.209,-0.161,-0.737
2025/07/20 19:10:53.810,-0.096,-0.126,-0.139,-0.088,-0.44899999999999995
2025/07/20 19:10:53.910,-0.01,-0.05,-0.061,-0.002,-0.123
2025/07/20 19:10:54.010,0.07,0.035,0.023,0.082,0.21000000000000002
2025/07/20 19:10:54.110,0.152,0.121,0.107,0.168,0.548
2025/07/20 19:10:54.210,0.235,0.209,0.203,0.251,0.898
2025/07/20 19:10:54.310,0.324,0.305,0.298,0.317,1.244
2025/07/20 19:10:54.410,0.443,0.361,0.434,0.362,1.6
2025/07/20 19:10:54.510,0.513,0.434,0.512,0.453,1.9120000000000001
2025/07/20 19:10:54.610,0.515,0.439,0.485,0.45,1.889
2025/07/20 19:10:54.710,0.477,0.432,0.513,0.392,1.814
2025/07/20 19:10:54.810,0.429,0.45,0.49,0.353,1.722
2025/07/20 19:10:54.910,0.474,0.427,0.478,0.348,1.7269999999999999
2025/07/20 19:10:55.010,0.453,0.412,0.434,0.361,1.66
2025/07/20 19:10:55.110,0.474,0.412,0.434,0.335,1.6549999999999998
2025/07/20 19:10:55.210,0.459,0.419,0.391,0.361,1.6300000000000001
2025/07/20 19:10:55.310,0.474,0.415,0.408,0.378,1.6749999999999998
2025/07/20 19:10:55.410,0.496,0.396,0.461,0.391,1.744
2025/07/20 19:10:55.510,0.49,0.416,0.478,0.389,1.773
2025/07/20 19:10:55.610,0.504,0.431,0.512,0.391,1.838
2025/07/20 19:10:55.710,0.52,0.429,0.504,0.418,1.871
2025/07/20 19:10:55.810,0.523,0.455,0.526,0.415,1.919
2025/07/20 19:10:55.910,0.542,0.442,0.533,0.423,1.94
2025/07/20 19:10:56.010,0.534,0.467,0.541,0.415,1.9570000000000003
2025/07/20 19:10:56.110,0.542,0.475,0.56,0.408,1.9849999999999999
2025/07/20 19:10:56.210,0.536,0.459,0.526,0.445,1.9660000000000002
2025/07/20 19:10:56.310,0.518,0.45,0.488,0.45,1.906
2025/07/20 19:10:56.410,0.544,0.44,0.513,0.445,1.942
2025/07/20 19:10:56.510,0.506,0.418,0.523,0.429,1.8760000000000001
2025/07/20 19:10:56.610,0.49,0.392,0.498,0.41,1.7899999999999998
2025/07/20 19:10:56.710,0.47,0.386,0.483,0.396,1.7349999999999999
2025/07/20 19:10:56.810,0.467,0.388,0.464,0.394,1.713
2025/07/20 19:10:56.910,0.469,0.383,0.486,0.388,1.726
2025/07/20 19:10:57.010,0.463,0.381,0.451,0.405,1.7000000000000002
2025/07/20 19:10:57.110,0.478,0.392,0.464,0.396,1.73
2025/07/20 19:10:57.210,0.48,0.415,0.47,0.38,1.745
2025/07/20 19:10:57.310,0.502,0.426,0.47,0.388,1.786
2025/07/20 19:10:57.410,0.504,0.44,0.453,0.412,1.809
2025/07/20 19:10:57.510,0.52,0.437,0.512,0.407,1.8760000000000001
2025/07/20 19:10:57.610,0.52,0.437,0.494,0.426,1.877
2025/07/20 19:10:57.710,0.534,0.437,0.499,0.432,1.9020000000000001
2025/07/20 19:10:57.810,0.523,0.461,0.512,0.418,1.914
2025/07/20 19:10:57.910,0.529,0.472,0.518,0.405,1.924
2025/07/20 19:10:58.010,0.525,0.47,0.491,0.412,1.898
2025/07/20 19:10:58.110,0.509,0.475,0.515,0.4,1.899
2025/07/20 19:10:58.210,0.504,0.456,0.509,0.405,1.8739999999999999
2025/07/20 19:10:58.310,0.504,0.445,0.501,0.4,1.85
2025/07/20 19:10:58.410,0.496,0.432,0.51,0.391,1.829
2025/07/20 19:10:58.510,0.496,0.424,0.51,0.384,1.814
2025/07/20 19:10:58.610,0.493,0.405,0.485,0.413,1.796
2025/07/20 19:10:58.710,0.478,0.426,0.475,0.408,1.787
2025/07/20 19:10:58.810,0.507,0.413,0.502,0.396,1.818
2025/07/20 19:10:58.910,0.494,0.399,0.501,0.408,1.802
2025/07/20 19:10:59.010,0.477,0.419,0.496,0.4,1.7919999999999998
2025/07/20 19:10:59.110,0.494,0.413,0.504,0.4,1.811
2025/07/20 19:10:59.210,0.493,0.418,0.506,0.4,1.8170000000000002
2025/07/20 19:10:59.310,0.494,0.431,0.52,0.386,1.831
2025/07/20 19:10:59.410,0.502,0.423,0.502,0.412,1.839
2025/07/20 19:10:59.510,0.491,0.451,0.504,0.412,1.8579999999999999
2025/07/20 19:10:59.610,0.531,0.435,0.529,0.408,1.903
2025/07/20 19:10:59.710,0.517,0.439,0.506,0.432,1.894
2025/07/20 19:10:59.810,0.537,0.424,0.49,0.443,1.8940000000000001
2025/07/20 19:10:59.910,0.545,0.413,0.52,0.427,1.905
2025/07/20 19:11:00.010,0.512,0.435,0.506,0.421,1.874
2025/07/20 19:11:00.110,0.521,0.415,0.518,0.426,1.88
2025/07/20 19:11:00.210,0.494,0.423,0.533,0.413,1.8630000000000002
2025/07/20 19:11:00.310,0.498,0.407,0.521,0.426,1.852
2025/07/20 19:11:00.410,0.475,0.418,0.529,0.421,1.8430000000000002
2025/07/20 19:11:00.510,0.469,0.423,0.526,0.405,1.823
2025/07/20 19:11:00.610,0.475,0.419,0.509,0.418,1.821
2025/07/20 19:11:00.710,0.486,0.415,0.491,0.432,1.8239999999999998
2025/07/20 19:11:00.810,0.517,0.402,0.513,0.419,1.851
2025/07/20 19:11:00.910,0.506,0.402,0.486,0.437,1.8310000000000002
2025/07/20 19:11:01.010,0.515,0.404,0.474,0.448,1.841
2025/07/20 19:11:01.110,0.534,0.388,0.518,0.437,1.877
2025/07/20 19:11:01.210,0.504,0.415,0.513,0.429,1.861
2025/07/20 19:11:01.310,0.521,0.415,0.507,0.429,1.872
2025/07/20 19:11:01.410,0.512,0.423,0.517,0.421,1.873
2025/07/20 19:11:01.510,0.502,0.435,0.529,0.405,1.8710000000000002
2025/07/20 19:11:01.610,0.502,0.418,0.523,0.434,1.877
2025/07/20 19:11:01.710,0.498,0.413,0.534,0.435,1.8800000000000001
2025/07/20 19:11:01.810,0.49,0.418,0.533,0.437,1.878
2025/07/20 19:11:01.910,0.49,0.421,0.525,0.44,1.876
2025/07/20 19:11:02.010,0.504,0.435,0.507,0.429,1.8750000000000002
2025/07/20 19:11:02.110,0.513,0.431,0.483,0.437,1.864
2025/07/20 19:11:02.210,0.523,0.437,0.494,0.416,1.8699999999999999
2025/07/20 19:11:02.310,0.542,0.427,0.493,0.421,1.8830000000000002
2025/07/20 19:11:02.410,0.504,0.461,0.478,0.415,1.858
2025/07/20 19:11:02.510,0.504,0.455,0.521,0.392,1.8719999999999999
2025/07/20 19:11:02.610,0.507,0.437,0.499,0.407,1.85
