Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N
2025/07/21 19:00:51.165,-0.687,-0.125,-3.832,3.895101795845649
2025/07/21 19:00:51.265,-1.785,0.115,-4.082,4.456699900150334
2025/07/21 19:00:51.365,-1.266,0.112,-3.952,4.151337615757119
2025/07/21 19:00:51.465,-0.919,-0.142,-3.839,3.9500184809694243
2025/07/21 19:00:51.565,-1.389,0.12,-3.94,4.179392419957714
2025/07/21 19:00:51.665,-1.041,-0.057,-3.855,3.9934890759835566
2025/07/21 19:00:51.765,-1.061,-0.031,-3.854,3.997498968104933
2025/07/21 19:00:51.866,-1.226,0.036,-3.903,4.091183325151783
2025/07/21 19:00:51.965,-1.073,-0.023,-3.869,4.015098877985448
2025/07/21 19:00:52.065,-1.228,0.021,-3.912,4.100264503663148
2025/07/21 19:00:52.165,-1.174,0.026,-3.895,4.068166294536151
2025/07/21 19:00:52.265,-1.071,-0.03,-3.865,4.0107562877841385
2025/07/21 19:00:52.365,-1.26,0.031,-3.914,4.111928622921366
2025/07/21 19:00:52.465,-1.153,0.011,-3.886,4.05345852328601
2025/07/21 19:00:52.565,-1.041,-0.037,-3.856,3.9942190726098135
2025/07/21 19:00:52.665,-1.224,0.021,-3.909,4.096205317119736
2025/07/21 19:00:52.765,-1.198,0.009,-3.899,4.078907451757149
2025/07/21 19:00:52.866,-1.057,-0.011,-3.863,4.00501423218445
2025/07/21 19:00:52.965,-1.172,-0.004,-3.892,4.064635777040792
2025/07/21 19:00:53.065,-1.223,0.023,-3.904,4.0911458052726495
2025/07/21 19:00:53.165,-1.071,-0.016,-3.871,4.016458390174109
2025/07/21 19:00:53.265,-1.124,-0.001,-3.88,4.039526828726355
2025/07/21 19:00:53.365,-1.253,0.025,-3.913,4.1087958089931895
2025/07/21 19:00:53.465,-1.116,-0.006,-3.886,4.043079024703821
2025/07/21 19:00:53.565,-1.087,-0.011,-3.877,4.02651449767662
2025/07/21 19:00:53.665,-1.234,0.022,-3.91,4.1001634113776495
2025/07/21 19:00:53.765,-1.172,0.012,-3.896,4.068481780713784
2025/07/21 19:00:53.866,-1.071,-0.014,-3.874,4.019342359142849
2025/07/21 19:00:53.966,-1.161,0.008,-3.902,4.07106730477402
2025/07/21 19:00:54.065,-1.224,0.015,-3.903,4.090453520087962
2025/07/21 19:00:54.165,-1.087,0.003,-3.879,4.028426367702406
2025/07/21 19:00:54.265,-1.121,-0.01,-3.887,4.045430755803392
2025/07/21 19:00:54.365,-1.243,0.03,-3.916,4.108650021600769
2025/07/21 19:00:54.465,-1.129,0.005,-3.889,4.049566273071722
2025/07/21 19:00:54.565,-1.099,-0.022,-3.883,4.035588432930196
