Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/10/29 18:06:09.243,0.215,-2.52,-23.232,-0.001,0.0,0.002,-0.001,0.208,-2.534,0.21,-2.535,-23.219,310040,,
2025/10/29 18:06:09.342,0.206,-2.525,-23.197,-0.001,-0.0,0.002,-0.001,0.208,-2.534,0.209,-2.535,-23.216,310140,,
2025/10/29 18:06:09.443,0.202,-2.533,-23.218,-0.0,-0.0,0.002,-0.001,0.208,-2.534,0.21,-2.535,-23.215,310240,,
2025/10/29 18:06:09.543,0.208,-2.532,-23.212,-0.0,0.0,0.002,-0.001,0.208,-2.534,0.209,-2.535,-23.214,310340,,
2025/10/29 18:06:09.643,0.205,-2.546,-23.207,0.0,-0.001,0.002,-0.001,0.209,-2.535,0.209,-2.536,-23.213,310440,,
2025/10/29 18:06:09.743,0.215,-2.523,-23.222,0.001,-0.001,0.002,-0.001,0.209,-2.535,0.208,-2.535,-23.213,310540,,
2025/10/29 18:06:09.843,0.213,-2.532,-23.214,0.001,-0.001,0.002,-0.001,0.209,-2.535,0.208,-2.534,-23.214,310640,,
2025/10/29 18:06:09.943,0.202,-2.533,-23.226,0.001,-0.001,0.001,-0.001,0.21,-2.535,0.209,-2.534,-23.215,310740,,
2025/10/29 18:06:10.043,0.237,-2.549,-23.247,0.001,-0.001,0.001,0.0,0.21,-2.535,0.208,-2.535,-23.218,310840,,
2025/10/29 18:06:10.143,0.205,-2.523,-23.24,0.001,-0.001,0.001,-0.0,0.21,-2.535,0.209,-2.535,-23.217,310940,,
2025/10/29 18:06:10.245,0.229,-2.543,-23.19,0.0,0.001,0.0,0.001,0.21,-2.535,0.21,-2.536,-23.216,311040,,
2025/10/29 18:06:10.343,0.236,-2.536,-23.211,0.001,-0.0,0.0,0.0,0.21,-2.535,0.209,-2.535,-23.218,311140,,
2025/10/29 18:06:10.443,0.206,-2.532,-23.235,0.001,0.0,-0.0,0.0,0.21,-2.535,0.209,-2.536,-23.217,311240,,
2025/10/29 18:06:10.543,0.228,-2.547,-23.239,0.0,0.001,0.0,0.0,0.21,-2.536,0.21,-2.536,-23.218,311340,,
2025/10/29 18:06:10.643,0.186,-2.497,-23.253,-0.0,0.001,0.0,0.0,0.21,-2.535,0.21,-2.536,-23.214,311440,,
2025/10/29 18:06:10.743,0.223,-2.527,-23.178,0.0,0.001,0.002,0.0,0.212,-2.536,0.213,-2.536,-23.21,311540,,
2025/10/29 18:06:10.843,0.207,-2.541,-23.2,-0.0,0.001,0.001,0.001,0.211,-2.535,0.212,-2.535,-23.21,311640,,
2025/10/29 18:06:10.943,0.078,-2.543,-23.209,-0.005,0.0,-0.003,-0.0,0.207,-2.536,0.202,-2.536,-23.206,311740,,
2025/10/29 18:06:11.043,0.191,-2.618,-23.137,-0.0,-0.005,0.001,-0.003,0.211,-2.54,0.212,-2.547,-23.208,311840,,
2025/10/29 18:06:11.143,0.163,-2.411,-23.268,-0.001,-0.001,0.001,-0.001,0.211,-2.537,0.211,-2.539,-23.209,311940,,
2025/10/29 18:06:11.245,0.233,-2.554,-23.14,0.001,-0.001,0.001,-0.001,0.212,-2.536,0.214,-2.537,-23.204,312040,,
2025/10/29 18:06:11.343,0.242,-2.566,-23.198,0.001,-0.001,0.001,-0.0,0.212,-2.537,0.213,-2.538,-23.21,312140,,
2025/10/29 18:06:11.443,0.224,-2.532,-23.205,0.001,-0.001,0.001,-0.001,0.212,-2.536,0.212,-2.537,-23.208,312240,,
2025/10/29 18:06:11.543,0.222,-2.553,-23.176,0.001,-0.001,0.001,-0.001,0.212,-2.536,0.211,-2.536,-23.21,312340,,
2025/10/29 18:06:11.643,0.209,-2.565,-23.2,0.001,-0.001,0.0,-0.0,0.212,-2.537,0.212,-2.536,-23.209,312440,,
2025/10/29 18:06:11.743,0.208,-2.538,-23.191,0.001,-0.001,0.001,0.0,0.212,-2.537,0.21,-2.537,-23.209,312540,,
2025/10/29 18:06:11.843,0.231,-2.532,-23.18,0.001,-0.001,0.0,0.0,0.212,-2.537,0.212,-2.536,-23.205,312640,,
