Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress,phase_error_rad,estimated_freq_Hz,phase_correction_rad,PhaseCorr_raw
2026/01/15 17:17:26.474,0.478,0.535,7.494,-2.01,-0.339,-1.146,-0.045,-0.335,0.157,0.613,0.404,4.914,190300,,,-0.0006,0.5956,-3.0,PhaseCorr: err=-0.0006 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:26.574,-0.465,0.096,8.49,-2.019,-0.336,-1.003,-0.034,-0.248,0.163,-0.01,0.315,5.537,190400,,,-0.0006,0.5956,-3.0,PhaseCorr: err=-0.0006 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:26.674,-1.344,-0.39,7.804,-1.981,-0.344,-0.872,-0.052,-0.168,0.152,-0.645,0.166,6.548,190500,,,-0.0006,0.5956,-3.0,PhaseCorr: err=-0.0006 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:26.774,-2.127,0.043,5.927,-1.966,-0.355,-0.846,-0.062,-0.151,0.144,-1.339,0.018,7.291,190600,,,-0.0006,0.5956,-3.0,PhaseCorr: err=-0.0006 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:26.874,-2.649,0.107,4.283,-2.012,-0.36,-0.887,-0.069,-0.186,0.139,-2.003,-0.109,7.149,190700,,,-0.0006,0.5956,-3.0,PhaseCorr: err=-0.0006 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:26.974,-2.277,-0.39,3.586,-2.055,-0.383,-0.913,-0.086,-0.214,0.122,-2.409,-0.236,6.346,190800,,,-0.0006,0.5956,-3.0,PhaseCorr: err=-0.0006 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.074,-1.931,-0.364,3.655,-2.038,-0.374,-0.906,-0.081,-0.205,0.128,-2.41,-0.255,5.417,190900,,,-0.0006,0.5956,-3.0,PhaseCorr: err=-0.0006 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.174,-1.529,-0.071,4.612,-1.99,-0.355,-0.9,-0.075,-0.181,0.137,-2.062,-0.207,4.77,191000,,,-0.0006,0.5956,-3.0,PhaseCorr: err=-0.0006 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.277,,,,,,,,,,,,,,,,-0.0003,0.5956,-3.0,PhaseCorr: err=-0.0003 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.279,-1.152,-0.161,5.868,-1.974,-0.35,-0.903,-0.077,-0.171,0.14,-1.5,-0.133,4.513,191100,,,-0.0003,0.5956,-3.0,PhaseCorr: err=-0.0003 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.374,-0.642,-0.024,6.623,-2.001,-0.368,-0.875,-0.063,-0.193,0.128,-0.84,-0.064,4.667,191200,,,-0.0003,0.5956,-3.0,PhaseCorr: err=-0.0003 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.474,0.061,0.269,6.362,-2.025,-0.367,-0.816,-0.061,-0.221,0.127,-0.125,0.063,5.099,191300,,,-0.0003,0.5956,-3.0,PhaseCorr: err=-0.0003 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.574,0.9,-0.018,5.267,-2.02,-0.37,-0.74,-0.054,-0.247,0.124,0.563,0.191,5.51,191400,,,-0.0003,0.5956,-3.0,PhaseCorr: err=-0.0003 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.674,1.218,0.28,4.401,-1.991,-0.356,-0.685,-0.032,-0.264,0.118,1.157,0.29,5.677,191500,,,-0.0003,0.5956,-3.0,PhaseCorr: err=-0.0003 est_freq=0.5956 Hz corr=-3.
2026/01/15 17:17:27.774,1.241,0.814,4.281,-1.938,-0.362,-0.636,-0.04,-0.283,0.12,1.536,0.405,5.587,191600,,,-0.0003,0.5956,-3.0,PhaseCorr: err=-0.0003 est_freq=0.5956 Hz corr=-3.
