Time,GPS_Lat,GPS_Lon,GPS_Alt,Target_Lat,Target_Lon,Target_Alt
1751173421.9467378,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.0467973,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.1468546,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.2469125,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.34697,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.447027,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.5470853,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.6471424,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.7471993,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.847257,36.0757764,136.213294,0.522,36.0757765,136.213294,0.5
1751173422.9473143,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.0473719,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.147428,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.2474852,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.3475423,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.4475992,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.5476563,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.6477132,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.7477698,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.847827,36.0757764,136.213294,0.52,36.0757765,136.213294,0.5
1751173423.947884,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.047942,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.1479993,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.2480564,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.3481128,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.4481702,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.5482273,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.6482837,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.7483408,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.848397,36.0757764,136.2132941,0.506,36.0757765,136.213294,0.5
1751173424.9484544,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.0485115,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.1485686,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.248627,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.348683,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.448739,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.5487964,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.648853,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.7489097,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.8489668,36.0757766,136.2132941,0.512,36.0757765,136.213294,0.5
1751173425.949024,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.049083,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.14914,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.2491975,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.3492546,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.4493113,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.5493765,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.6494362,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.7494926,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.8495493,36.0757766,136.2132941,0.501,36.0757765,136.213294,0.5
1751173426.949606,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.049663,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.1497195,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.2497768,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.349833,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.4498885,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.5499454,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.6500022,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.7500587,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
1751173427.8501155,36.0757766,136.2132941,0.515,36.0757765,136.213294,0.5
